AvyYear,YYYY,MM,DD,Date,Location,Setting,State,lat,lon,PrimaryActivity,TravelMode,Killed,Description,HasLocation,HasDescription,SettingCode,IsClosedTerrain,SettingLabel,MentionsInjured,MentionsCriticalBurial,AlternateCause,PeopleCaught,PeopleCaughtParsed,PeopleInjured
2025,2025,6,10,2025-06-10,"Rescue Gully, West Buttress Mt. McKinley",BC,AK,63.079,-151.06,Climber,Ski,1,"2 climbers caught, 1 partially buried - critical and killed, 1 partially buried",True,True,BC,False,Backcountry,False,True,standard_burial,2,True,
2025,2025,3,22,2025-03-22,"Seattle Ridge, northwest of Turnagain Pass",BC,AK,60.815,-149.219,Snowmobiler,Snowmobile,1,"1 snowmobiler caught, buried, and killed",True,True,BC,False,Backcountry,False,False,standard_burial,1,True,
2025,2025,3,13,2025-03-13,"Mt Bailey, west of Chemult",BC,OR,43.163,-122.227,Mechanized Guided Client,Ski,1,"1 mechanized guided and 4 clients caught, 1 guide and 1 client partially buried, 1 client fully buried and killed",True,True,BC,False,Backcountry,False,False,standard_burial,1,True,
2025,2025,3,7,2025-03-07,"Hoyt Peak, northeast of Kamas",BC,UT,40.691,-111.199,Backcountry Tourer,Ski,1,"1 backcountry tourer caught, buried, and killed",True,True,BC,False,Backcountry,False,False,standard_burial,1,True,
2025,2025,3,4,2025-03-04,West Fork Twentymile River,BC,AK,60.857,-148.953,Mechanized Guided Client,Ski,3,"3 guided clients caught, buried, and killed",True,True,BC,False,Backcountry,False,False,standard_burial,3,True,
2025,2025,2,28,2025-02-28,Harts Pass,BC,WA,48.72,-120.67,Snowmobiler,Snowmobile,1,"3 snowmobilers caught, 1 injured, and 1 buried and killed",True,True,BC,False,Backcountry,True,False,standard_burial,3,True,1.0
2025,2025,2,22,2025-02-22,"Mines Peak, east of Berthoud Pass",BC,CO,39.8,-105.773,Backcountry Tourer,Snowboard,1,"1 backcountry tourer caught, buried, and killed",True,True,BC,False,Backcountry,False,False,standard_burial,1,True,
2025,2025,2,20,2025-02-20,"Middle Fork of Mineral Creek, west of Silverton",BC,CO,37.844,-107.774,Backcountry Tourer,Snowboard,1,"2 backcountry tourers caught, 1 buried and killed",True,True,BC,False,Backcountry,False,False,standard_burial,2,True,
2025,2025,2,17,2025-02-17,Powderhouse Peak south of Lake Tahoe,BC,CA,38.788,-119.946,Backcountry Tourer,Ski,1,1 backcountry tourer buried and killed,True,True,BC,False,Backcountry,False,False,standard_burial,1,True,
2025,2025,2,17,2025-02-17,Happy Valley west of Bend,BC,OR,44.061,-121.616,Backcountry Tourer,Ski,2,"2 backcountry tourers caught, buried, and killed",True,True,BC,False,Backcountry,False,False,standard_burial,2,True,
2025,2025,2,14,2025-02-14,"Lincoln Mountain, west of Bishop",SA,CA,37.628,-119.033,Ski Patroller,Ski ,1,"2 ski patrollers buried, 1 killed",True,True,SA,False,Ski Area,False,False,standard_burial,2,True,
2025,2025,2,8,2025-02-08,Silver Fork Canyon,BC,UT,40.602,-111.617,Human-Powered Guide,Ski,1,"1 human-powered guided client partially buried and injured, 1 human-powered guide completely buried and killed",True,True,BC,False,Backcountry,True,False,standard_burial,1,True,
2025,2025,2,3,2025-02-03,"Monte Cristo Peak, east of Huntsville",BC,UT,41.411,-111.524,Snowmobiler,Snowmobile,1,"1 snowmobiler caught, buried, and killed",True,True,BC,False,Backcountry,False,False,standard_burial,1,True,
2025,2025,1,7,2025-01-07,"Red Mountain Number 3, east of Red Mountain Pass",BC,CO,37.904,-107.697,Backcountry Tourer,Ski,1,"1 backcountry tourer caught, buried, and killed",True,True,BC,False,Backcountry,False,False,standard_burial,1,True,
2025,2025,1,4,2025-01-04,"Radio Tower Peak, northeast of Togwotee Pass",BC,WY,43.762,-110.056,Backcountry Tourer,Ski,1,"2 backcountry tourers caught, 1 partially buried -critical and injured, 1 buried and killed",True,True,BC,False,Backcountry,True,True,standard_burial,2,True,
2025,2024,12,31,2024-12-31,"Davenport Hill, Big Cottonwood Canyon",BC,UT,40.601,-111.622,Backcountry Tourer,Snowboard,1,1 backcountry tourer completely buried and killed,True,True,BC,False,Backcountry,False,False,standard_burial,1,True,
2025,2024,12,28,2024-12-28,"Porter Fork Pass, northwest of Mt Raymond",BC,UT,40.66,-111.709,Backcountry Tourer,Snowboard,1,1 backcountry tourer buried and killed,True,True,BC,False,Backcountry,False,False,standard_burial,1,True,
