fiscal_year,source_pdf,source_url,retrieval_method,verified_2026-09-18
FY15-16,caic_annual-report_15-16.pdf,https://spl.cde.state.co.us/artemis/nrserials/nr711internet/nr711201516internet.pdf,co_state_publications_library,True
FY16-17,FoCAIC_annual-report_16-17_final.pdf,https://spl.cde.state.co.us/artemis/nrserials/nr711internet/nr711201617internet.pdf,co_state_publications_library,True
FY17-18,CAIC_Annual_Report_2017-18.pdf,https://spl.cde.state.co.us/artemis/nrserials/nr711internet/nr711201718internet.pdf,co_state_publications_library,True
FY18-19,FY19AnnualReport.pdf,https://spl.cde.state.co.us/artemis/nrserials/nr711internet/nr711201819internet.pdf,co_state_publications_library,True
FY19-20,CAIC_FY20AnnualReport_Final_Web-large.pdf,https://spl.cde.state.co.us/artemis/nrserials/nr711internet/nr711201920internet.pdf,co_state_publications_library,True
FY20-21,CAIC_FY21AnnualReport_Web-large_Jan11.pdf,https://spl.cde.state.co.us/artemis/nrserials/nr711internet/nr711202021internet.pdf,co_state_publications_library,True
FY21-22,CAIC_FY22AnnualReport_Final_Small.pdf,https://avalanche.state.co.us/sites/default/files/2023-02/CAIC_FY22AnnualReport_Final_Small.pdf,caic_direct_download,True
FY22-23,2022-2023 Annual Report.pdf,https://avalanche.state.co.us/sites/default/files/2023-12/2022-2023%20Annual%20Report.pdf,caic_direct_download,True
FY23-24,Friends of CAIC and CAIC FY24 Annual Report.pdf,https://avalanche.state.co.us/sites/default/files/2024-12/Friends%20of%20CAIC%20and%20CAIC%20FY24%20Annual%20Report.pdf,caic_direct_download,True
FY24-25,CAIC_FY25AnnualReport_Final_Web.pdf,https://avalanche.state.co.us/sites/default/files/2025-12/CAIC_FY25AnnualReport_Final_Web.pdf,caic_direct_download,True
